Device,Test Name,Test Status,Message(s),Test description,Test category
dc1-spine2,VerifyBGPPeerSession,failure,Peer: 10.99.1.1 VRF: default - Incorrect session state - Expected: Established Actual: Active - Peer: 10.99.1.2 VRF: default - Incorrect session state - Expected: Established Actual: Active - Peer: 10.99.1.3 VRF: default - Incorrect session state - Expected: Established Actual: Active - Peer: 10.99.1.4 VRF: default - Incorrect session state - Expected: Established Actual: Active - Peer: 10.101.0.3 VRF: default - Incorrect session state - Expected: Established Actual: Idle - Peer: 10.101.0.7 VRF: default - Incorrect session state - Expected: Established Actual: Idle - Peer: 10.101.0.11 VRF: default - Incorrect session state - Expected: Established Actual: Idle - Peer: 10.101.0.15 VRF: default - Incorrect session state - Expected: Established Actual: Idle,Verifies the session state of BGP peers.,BGP
dc1-spine2,VerifyRunningConfigDiffs,failure,"--- flash:/startup-config
+++ system:/running-config
@@ -1,4 +1,4 @@
-! device: dc1-spine2.dc1.clab (cEOSLab, EOS-4.33.10M-49734529.43310M (engineering build))
+! device: dc1-spine2 (cEOSLab, EOS-4.33.10M-49734529.43310M (engineering build))
 !
 no aaa root
 !
",Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-spine2,VerifyLLDPNeighbors,failure,Port: Ethernet1/1 Neighbor: dc1-leaf1 Neighbor Port: Ethernet50/1 - Port not found - Port: Ethernet1/2 Neighbor: dc1-leaf2 Neighbor Port: Ethernet50/1 - Port not found - Port: Ethernet1/3 Neighbor: dc1-leaf3 Neighbor Port: Ethernet50/1 - Port not found - Port: Ethernet1/4 Neighbor: dc1-leaf4 Neighbor Port: Ethernet50/1 - Port not found,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc1-spine2,VerifyReachability,failure,Destination 10.101.0.3 (dc1-leaf1_Ethernet50/1) from 10.101.0.2 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.101.0.7 (dc1-leaf2_Ethernet50/1) from 10.101.0.6 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.101.0.11 (dc1-leaf3_Ethernet50/1) from 10.101.0.10 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.101.0.15 (dc1-leaf4_Ethernet50/1) from 10.101.0.14 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-spine2,VerifyReachability,failure,Destination 10.99.1.1 (dc1-leaf1_Loopback0) from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0 - Destination 10.99.1.2 (dc1-leaf2_Loopback0) from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0 - Destination 10.99.1.3 (dc1-leaf3_Loopback0) from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0 - Destination 10.99.1.4 (dc1-leaf4_Loopback0) from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0 - Destination 10.101.0.3 (dc1-leaf1_Ethernet50/1) in VRF default - Unreachable - Destination 10.101.0.7 (dc1-leaf2_Ethernet50/1) in VRF default - Unreachable - Destination 10.101.0.11 (dc1-leaf3_Ethernet50/1) in VRF default - Unreachable - Destination 10.101.0.15 (dc1-leaf4_Ethernet50/1) in VRF default - Unreachable,Verifies reachability to BGP neighbors.,Connectivity
dc1-spine2,VerifyInterfacesStatus,failure,Interface: Ethernet1/1 - Not configured - Interface: Ethernet1/2 - Not configured - Interface: Ethernet1/3 - Not configured - Interface: Ethernet1/4 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf1,VerifyMlagConfigSanity,skipped,MLAG is disabled,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc1-leaf1,VerifyVxlanConfigSanity,skipped,'show vxlan config-sanity' is not supported on cEOSLab,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc1-leaf2,VerifyMlagConfigSanity,skipped,MLAG is disabled,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc1-leaf2,VerifyVxlanConfigSanity,skipped,'show vxlan config-sanity' is not supported on cEOSLab,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc1-leaf3,VerifyMlagConfigSanity,skipped,MLAG is disabled,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc1-leaf3,VerifyVxlanConfigSanity,skipped,'show vxlan config-sanity' is not supported on cEOSLab,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc1-leaf4,VerifyMlagConfigSanity,skipped,MLAG is disabled,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc1-leaf4,VerifyVxlanConfigSanity,skipped,'show vxlan config-sanity' is not supported on cEOSLab,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc1-leaf1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc1-leaf1,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
